Combinación de Características;Puntaje R^2; alcohol; chlorides; citric acid; density; free sulfur dioxide; pH; residual sugar; sulphates; total sulfur dioxide;volatile acidity
fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,52967257;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,52903682;;;;;;;;;;
volatile acidity, citric acid, total sulfur dioxide, density, pH, sulphates, alcohol;0,528810612;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,528789176;;;;;;;;;;
volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,528535891;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,528489634;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, pH, sulphates, alcohol;0,528476096;;;;;;;;;;
volatile acidity, residual sugar, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,528427582;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,528422505;;;;;;;;;;
volatile acidity, citric acid, chlorides, free sulfur dioxide, density, pH, sulphates, alcohol;0,528219426;;;;;;;;;;
volatile acidity, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,528164143;;;;;;;;;;
volatile acidity, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,528087989;;;;;;;;;;
citric acid, residual sugar, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,527897884;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,527658138;;;;;;;;;;
volatile acidity, citric acid, chlorides, free sulfur dioxide, sulphates, alcohol;0,527619778;;;;;;;;;;
volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,527343365;;;;;;;;;;
volatile acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,527218697;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,52716962;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,526985156;;;;;;;;;;
volatile acidity, citric acid, free sulfur dioxide, density, pH, sulphates, alcohol;0,526193711;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, chlorides, total sulfur dioxide, density, sulphates, alcohol;0,526186378;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,525980478;;;;;;;;;;
fixed acidity, volatile acidity, chlorides, free sulfur dioxide, density, pH, sulphates, alcohol;0,525978786;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, density, pH, sulphates, alcohol;0,525916734;;;;;;;;;;
volatile acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,525848477;;;;;;;;;;
volatile acidity, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,525708014;;;;;;;;;;
volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,525689962;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, density, sulphates, alcohol;0,525604218;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,525584474;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,525467703;;;;;;;;;;
volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,525459806;;;;;;;;;;
volatile acidity, citric acid, chlorides, total sulfur dioxide, sulphates, alcohol;0,525399446;;;;;;;;;;
volatile acidity, residual sugar, chlorides, free sulfur dioxide, density, pH, sulphates, alcohol;0,525390984;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, chlorides, total sulfur dioxide, sulphates, alcohol;0,525180572;;;;;;;;;;
volatile acidity, residual sugar, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,524906415;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, density, sulphates, alcohol;0,524859594;;;;;;;;;;
fixed acidity, volatile acidity, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,524671182;;;;;;;;;;
volatile acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,524601796;;;;;;;;;;
fixed acidity, volatile acidity, chlorides, free sulfur dioxide, pH, sulphates, alcohol;0,524530154;;;;;;;;;;
fixed acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,524444974;;;;;;;;;;
volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,524266716;;;;;;;;;;
volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,524145432;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, pH, sulphates, alcohol;0,524034867;;;;;;;;;;
volatile acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,523937276;;;;;;;;;;
volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,523911891;;;;;;;;;;
volatile acidity, citric acid, free sulfur dioxide, density, sulphates, alcohol;0,523869019;;;;;;;;;;
volatile acidity, residual sugar, chlorides, free sulfur dioxide, pH, sulphates, alcohol;0,523774249;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, pH, sulphates, alcohol;0,523750556;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,52372912;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, total sulfur dioxide, density, sulphates, alcohol;0,523599375;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, density, sulphates, alcohol;0,523543528;;;;;;;;;;
citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,523502348;;;;;;;;;;
citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,523421681;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,523315628;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,523304346;;;;;;;;;;
citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,523111985;;;;;;;;;;
volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates;0,523083215;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, total sulfur dioxide, pH, sulphates, alcohol;0,523040907;;;;;;;;;;
volatile acidity, citric acid, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,522995778;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,522933726;;;;;;;;;;
citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,522584543;;;;;;;;;;
fixed acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,522345361;;;;;;;;;;
volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,522336335;;;;;;;;;;
volatile acidity, residual sugar, total sulfur dioxide, density, pH, sulphates, alcohol;0,52154489;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,521322067;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, free sulfur dioxide, density, sulphates, alcohol;0,52125099;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, sulphates, alcohol;0,521210938;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, density, sulphates, alcohol;0,52119063;;;;;;;;;;
volatile acidity, citric acid, residual sugar, free sulfur dioxide, density, sulphates, alcohol;0,521174271;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, total sulfur dioxide, pH, sulphates, alcohol;0,521055808;;;;;;;;;;
volatile acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates;0,521019141;;;;;;;;;;
citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,520917037;;;;;;;;;;
fixed acidity, citric acid, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,520737651;;;;;;;;;;
volatile acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,520684624;;;;;;;;;;
fixed acidity, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,520250825;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,520207953;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,519758358;;;;;;;;;;
citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,51975046;;;;;;;;;;
fixed acidity, volatile acidity, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,519676562;;;;;;;;;;
volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,519654562;;;;;;;;;;
volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,519583484;;;;;;;;;;
fixed acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,519410303;;;;;;;;;;
fixed acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,519194249;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,519123735;;;;;;;;;;
volatile acidity, citric acid, chlorides, free sulfur dioxide, pH, sulphates, alcohol;0,518849014;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, free sulfur dioxide, sulphates, alcohol;0,518217212;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, total sulfur dioxide, sulphates, alcohol;0,518016954;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, free sulfur dioxide, density, pH, sulphates, alcohol;0,517886081;;;;;;;;;;
volatile acidity, citric acid, residual sugar, free sulfur dioxide, density, pH, sulphates, alcohol;0,517772695;;;;;;;;;;
fixed acidity, volatile acidity, chlorides, free sulfur dioxide, density, sulphates, alcohol;0,517732643;;;;;;;;;;
volatile acidity, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,517651975;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, sulphates, alcohol;0,51760459;;;;;;;;;;
volatile acidity, residual sugar, chlorides, total sulfur dioxide, sulphates, alcohol;0,517473153;;;;;;;;;;
volatile acidity, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,517443819;;;;;;;;;;
citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,517418998;;;;;;;;;;
fixed acidity, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,517416742;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, chlorides, total sulfur dioxide, density, sulphates;0,517059661;;;;;;;;;;
volatile acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,516756171;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, chlorides, pH, sulphates, alcohol;0,516747145;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, chlorides, total sulfur dioxide, sulphates, alcohol;0,516736427;;;;;;;;;;
volatile acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, density, sulphates, alcohol;0,516674375;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, density, pH, sulphates, alcohol;0,516469603;;;;;;;;;;
citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,51623437;;;;;;;;;;
citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,516094471;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, total sulfur dioxide, density, pH, sulphates, alcohol;0,516060624;;;;;;;;;;
fixed acidity, citric acid, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,515821442;;;;;;;;;;
volatile acidity, residual sugar, free sulfur dioxide, density, sulphates, alcohol;0,515779698;;;;;;;;;;
volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, density, pH, sulphates, alcohol;0,515764467;;;;;;;;;;
residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,5154779;;;;;;;;;;
fixed acidity, volatile acidity, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,515294;;;;;;;;;;
citric acid, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,515273128;;;;;;;;;;
volatile acidity, residual sugar, chlorides, free sulfur dioxide, sulphates, alcohol;0,515120819;;;;;;;;;;
citric acid, chlorides, total sulfur dioxide, density, sulphates, alcohol;0,515076819;;;;;;;;;;
fixed acidity, volatile acidity, free sulfur dioxide, density, sulphates, alcohol;0,515052562;;;;;;;;;;
volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,515049177;;;;;;;;;;
volatile acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,515026613;;;;;;;;;;
fixed acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,515022664;;;;;;;;;;
fixed acidity, residual sugar, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,51496851;;;;;;;;;;
fixed acidity, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,514929022;;;;;;;;;;
volatile acidity, citric acid, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,514665583;;;;;;;;;;
fixed acidity, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,514609172;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, total sulfur dioxide, density, sulphates, alcohol;0,514298348;;;;;;;;;;
fixed acidity, volatile acidity, free sulfur dioxide, pH, sulphates, alcohol;0,514165783;;;;;;;;;;
volatile acidity, chlorides, free sulfur dioxide, density, pH, sulphates, alcohol;0,514014038;;;;;;;;;;
fixed acidity, volatile acidity, chlorides, total sulfur dioxide, density, sulphates, alcohol;0,513957627;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, total sulfur dioxide, density, sulphates, alcohol;0,513867933;;;;;;;;;;
volatile acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates;0,51368347;;;;;;;;;;
fixed acidity, citric acid, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,513595469;;;;;;;;;;
citric acid, total sulfur dioxide, density, pH, sulphates, alcohol;0,513530596;;;;;;;;;;
fixed acidity, citric acid, free sulfur dioxide, pH, sulphates, alcohol;0,513449929;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates;0,513438082;;;;;;;;;;
fixed acidity, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,513296491;;;;;;;;;;
volatile acidity, citric acid, chlorides, total sulfur dioxide, density, sulphates, alcohol;0,51324685;;;;;;;;;;
fixed acidity, volatile acidity, chlorides, total sulfur dioxide, sulphates, alcohol;0,51324008;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, free sulfur dioxide, pH, sulphates, alcohol;0,513223157;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, chlorides, total sulfur dioxide, density, sulphates, alcohol;0,513099053;;;;;;;;;;
fixed acidity, citric acid, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,513034181;;;;;;;;;;
volatile acidity, residual sugar, chlorides, total sulfur dioxide, density, pH, sulphates;0,512944487;;;;;;;;;;
residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,512867768;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, total sulfur dioxide, density, pH, sulphates, alcohol;0,512731818;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, pH, sulphates, alcohol;0,512731254;;;;;;;;;;
volatile acidity, residual sugar, chlorides, density, pH, sulphates, alcohol;0,512640997;;;;;;;;;;
fixed acidity, volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,512550175;;;;;;;;;;
fixed acidity, citric acid, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,512421558;;;;;;;;;;
volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, pH, sulphates, alcohol;0,512294634;;;;;;;;;;
fixed acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,512274326;;;;;;;;;;
fixed acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,512071811;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates;0,512031759;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, total sulfur dioxide, density, pH, sulphates, alcohol;0,511689909;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, sulphates, alcohol;0,511665652;;;;;;;;;;
volatile acidity, citric acid, residual sugar, free sulfur dioxide, pH, sulphates, alcohol;0,511435496;;;;;;;;;;
volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, sulphates, alcohol;0,511349752;;;;;;;;;;
volatile acidity, residual sugar, total sulfur dioxide, density, sulphates, alcohol;0,511335649;;;;;;;;;;
fixed acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,511251033;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, chlorides, free sulfur dioxide, sulphates, alcohol;0,511076723;;;;;;;;;;
volatile acidity, residual sugar, chlorides, total sulfur dioxide, density, sulphates;0,510713437;;;;;;;;;;
fixed acidity, volatile acidity, free sulfur dioxide, density, pH, sulphates, alcohol;0,510680154;;;;;;;;;;
fixed acidity, volatile acidity, total sulfur dioxide, pH, sulphates, alcohol;0,510569025;;;;;;;;;;
volatile acidity, residual sugar, chlorides, total sulfur dioxide, density, sulphates, alcohol;0,510559999;;;;;;;;;;
citric acid, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,510280201;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, density, pH, sulphates, alcohol;0,510039891;;;;;;;;;;
citric acid, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,509985172;;;;;;;;;;
citric acid, residual sugar, chlorides, total sulfur dioxide, density, sulphates, alcohol;0,509945685;;;;;;;;;;
chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,509943992;;;;;;;;;;
volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,509817068;;;;;;;;;;
fixed acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,509769683;;;;;;;;;;
citric acid, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,50974599;;;;;;;;;;
residual sugar, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,509733016;;;;;;;;;;
citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,50942614;;;;;;;;;;
fixed acidity, volatile acidity, total sulfur dioxide, density, sulphates, alcohol;0,509359011;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, chlorides, free sulfur dioxide, pH, sulphates, alcohol;0,508972033;;;;;;;;;;
volatile acidity, chlorides, free sulfur dioxide, pH, sulphates, alcohol;0,508951725;;;;;;;;;;
residual sugar, chlorides, free sulfur dioxide, pH, sulphates, alcohol;0,508801672;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates;0,508633568;;;;;;;;;;
volatile acidity, residual sugar, free sulfur dioxide, density, pH, sulphates, alcohol;0,508617772;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, density, pH, sulphates, alcohol;0,50829623;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, chlorides, density, pH, sulphates, alcohol;0,508126998;;;;;;;;;;
volatile acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, density, sulphates;0,508119664;;;;;;;;;;
citric acid, residual sugar, chlorides, total sulfur dioxide, sulphates, alcohol;0,507727609;;;;;;;;;;
volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates;0,507671198;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, density, sulphates, alcohol;0,507470375;;;;;;;;;;
fixed acidity, citric acid, free sulfur dioxide, density, pH, sulphates, alcohol;0,507459093;;;;;;;;;;
volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, density, sulphates, alcohol;0,507446683;;;;;;;;;;
volatile acidity, residual sugar, chlorides, free sulfur dioxide, density, sulphates, alcohol;0,507114422;;;;;;;;;;
fixed acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,507048422;;;;;;;;;;
volatile acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, sulphates, alcohol;0,506914728;;;;;;;;;;
fixed acidity, volatile acidity, total sulfur dioxide, density, pH, sulphates, alcohol;0,50681206;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, density, pH, sulphates, alcohol;0,506725187;;;;;;;;;;
fixed acidity, volatile acidity, residual sugar, total sulfur dioxide, sulphates, alcohol;0,506200566;;;;;;;;;;
fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, density, sulphates;0,505819229;;;;;;;;;;
